Dataset,N,RMSE,MAE,r
GSE69914,49,7.0556308853039535,3.806340144090548,0.8703726857356008
GSE67919,26,10.299041395986789,4.89955704505639,0.7711354466474192
GSE225845,231,5.004551153332095,2.8846531464516545,0.9269414327129626
GSE101961,121,5.434437316868522,3.0562850746674215,0.9142435477915145
GSE108213,8,3.7460541203969346,3.02621036397462,0.9753101468413321
GSE88883,100,3.7285650911879973,2.1869680809830925,0.9703053120732966
GSE74214,18,8.554880918908735,5.492055190571445,0.9751955299521701
